Inventory,13,,,,,,,,,,,
id,creator,date_created,last_modified,title,code,description,resources,use,alignment,materials,dimensions,year
1,User:1,2009.10.09.14.30.56 -0700,2011.03.29.17.56.45 -0700,Women Playing Cards,AVE-057-OC,NULL,[Resource:1],NULL,NULL,oil on canvas,"26.25 x 34.25""",1948
2,User:1,2009.10.09.14.32.25 -0700,2011.03.29.17.56.45 -0700,Reader in the Quarry,AVE-066-OC,NULL,[Resource:2],NULL,NULL,oil on canvas,"30.5 x 40.5""",1947
3,User:1,2009.10.09.14.33.39 -0700,2011.03.29.17.56.45 -0700,Mountains & Meadows,AVE-072-OC,NULL,[Resource:3],NULL,NULL,oil on canvas,"32 x 42""",1946
7,User:1,2009.10.13.12.41.47 -0700,2011.06.08.13.48.36 -0700,Substantial Woman,AVE-002-OC,NULL,[Resource:7],NULL,NULL,oil on canvas,"36 x 46""",1946
8,User:1,2009.10.13.12.42.43 -0700,2011.03.29.17.56.45 -0700,Sea Grasses & Blue Sea,AVE-020-MM,NULL,[Resource:8],NULL,NULL,"oil, watercolor and black wash on paper","22.5 x 31""",1958
9,User:1,2009.10.13.12.43.53 -0700,2011.03.29.17.56.45 -0700,Black Chemise,AVE-084-OC ,NULL,[Resource:9],NULL,crop bottom,oil on canvas,"36 x 30""",1946
10,User:1,2009.10.13.12.48.44 -0700,2011.03.29.17.56.45 -0700,Woman in Bathrobe,BIS-009-OC,NULL,[Resource:10],NULL,crop top,oil on canvas,"24 x 20""",1958
12,User:1,2009.10.13.12.54.06 -0700,2011.03.29.17.56.45 -0700,Rufus (small red),BUT-008-SC ,NULL,[Resource:12],NULL,crop right,NULL,NULL,NULL
13,User:1,2009.10.13.12.56.11 -0700,2011.03.29.17.56.45 -0700,Untitled,CAV-005-OC,NULL,[Resource:13],NULL,NULL,oil on canvas,"72 x 56""",1964
14,User:1,2009.10.13.12.59.41 -0700,2011.03.29.17.56.45 -0700,Untitled (Albuquerque Series),DBK-074-OC ,NULL,[Resource:14],NULL,crop top,oil on canvas,"17 x 15.5""",1951
17,User:1,2009.10.13.13.05.10 -0700,2011.03.29.17.56.45 -0700,Nude in Chair,DEN-128-OC ,NULL,[Resource:260],normal,NULL,oil on canvas,"40 x 46""",1971
18,User:1,2009.10.13.13.10.41 -0700,2011.03.29.17.56.45 -0700,Untitled White Line,FRA-005-GO,NULL,[Resource:19],NULL,NULL,oil on paper mounted on masonite,"39.25 x 26.5""",1959
19,User:1,2009.10.13.13.25.59 -0700,2011.03.29.17.56.45 -0700,Red Flowers and Purple Vase,HAR-019-OM,NULL,[Resource:20],NULL,crop bottom,oil on masonite,"28 x 22""",1941
20,User:1,2009.10.13.13.27.58 -0700,2011.03.29.17.56.45 -0700,Untitled,HEL-003-OC,NULL,[Resource:21],NULL,NULL,oil on canvas,"30.25 x 34.5""",1958
22,User:1,2009.10.13.13.32.04 -0700,2011.03.29.17.56.45 -0700,Yellow Self Portrait,HOF-044-OM ,NULL,[Resource:24],NULL,crop bottom,oil on panel,"51.5 x 36.25""",1943
23,User:1,2009.10.13.13.32.49 -0700,2011.03.29.17.56.45 -0700,When Gods Combat,HOF-055-OM ,NULL,[Resource:25],NULL,NULL,oil on linen,"36 x 48""",1965
24,User:1,2009.10.13.13.33.52 -0700,2011.03.29.17.56.45 -0700,Genius Logic,HOF-123-OC,<ROOT/>,[Resource:269],normal,NULL,oil on canvas,"48 x 36""",1963
25,User:1,2009.10.13.13.36.05 -0700,2011.03.29.17.56.45 -0700,Italy,HOG-001-OM,NULL,[Resource:27],NULL,NULL,oil on panel,"32.25 x 34.25""",1996
26,User:1,2009.10.13.13.42.20 -0700,2011.03.29.17.56.45 -0700,Ochre Enclosing Umber with Emerald Disk and Peripheral Orange,HRN-009-GO ,NULL,[Resource:28],NULL,crop left,gouache on paper,"23 x 30""",1968
27,User:1,2009.10.13.13.44.01 -0700,2011.03.29.17.56.45 -0700,Untitled,KLI-005-IN,NULL,[Resource:29],NULL,NULL,ink on paper,"12 x 15.75""",1952
28,User:1,2009.10.13.13.45.30 -0700,2011.03.29.17.56.45 -0700,Opus No. 61-313,KSI-001-OC ,NULL,[Resource:30],NULL,crop right,oil on canvas,"58 x 94""",1961
29,User:1,2009.10.13.13.47.58 -0700,2011.03.29.17.56.45 -0700,1 January 1949,LOB-003-OC,NULL,[Resource:31],NULL,NULL,oil on canvas,"48 x 40""",1949
30,User:1,2009.10.13.13.49.01 -0700,2011.03.29.17.56.45 -0700,1.3.95-4.10.95 Bleeker,LOB-184-OC ,NULL,[Resource:32],NULL,NULL,oil on canvas,"96 x 78""",1995
31,User:1,2009.10.13.13.50.04 -0700,2011.03.29.17.56.45 -0700,Untitled,MIL-002-GO ,NULL,[Resource:33],NULL,NULL,gouache on paper,"27.75 x 39.75""",1961
33,User:1,2009.10.13.13.53.23 -0700,2011.03.29.17.56.45 -0700,Untitled,MIT-025-OC,NULL,[Resource:35],NULL,NULL,oil on canvas,"36.25 x 28.75""",1957
35,User:1,2009.10.13.13.55.39 -0700,2011.03.29.17.56.45 -0700,A&B,MRC-011-MM ,NULL,[Resource:37],NULL,crop right,"oil, chalk and canvas collage on canvas",60 x 106”,1958
36,User:1,2009.10.13.13.57.49 -0700,2011.03.29.17.56.45 -0700,Oka,NER-124-SC ,NULL,[Resource:38],not for homepage,NULL,marble sculpture,"51 x 20 x 24""",1990
37,User:1,2009.10.13.14.01.40 -0700,2011.03.29.17.56.45 -0700,Collage Painting No. 2,NER-178-MM,NULL,[Resource:40],NULL,NULL,collage with oil-based pigments on canvas,"66.5 x 54.5""",1959
38,User:1,2009.10.13.14.02.23 -0700,2011.03.29.17.56.45 -0700,Standing Female Figure No. 6 (cast 1/4),NER-391-SC,NULL,[Resource:41],not for homepage,NULL,bronze sculpture with oil-based enamel,"65.5 x 19.75 x 15.5""",2006
39,User:1,2009.10.13.14.06.36 -0700,2013.01.15.16.15.10 -0800,Screen I (diptych),OKD-003-OC ,NULL,[Resource:42],NULL,crop left,oil on canvas,"60 x 48""",1955
40,User:1,2009.10.13.14.07.33 -0700,2011.03.29.17.56.45 -0700,Idealized Female Head,NAD-018-SC,NULL,[Resource:43],not for homepage,NULL,white marble,"15.5 x 9 x 14""",1910
41,User:1,2009.10.13.14.08.57 -0700,2011.03.29.17.56.45 -0700,Head of Man,PAR-011-TP,NULL,[Resource:44],not for homepage,NULL,tempera on paper,"13.25 x 10""",1960
42,User:1,2009.10.13.14.10.03 -0700,2011.03.29.17.56.45 -0700,Standing Nudes,PAR-036-GO,NULL,[Resource:45],not for homepage,NULL,NULL,NULL,NULL
43,User:1,2009.10.13.14.11.10 -0700,2011.03.29.17.56.45 -0700,Untitled,PAR-059-OC,NULL,[Resource:46],NULL,NULL,oil on canvas,"25 x 27""",1957
