Page,6,,,,
id,creator,date_created,last_modified,title,description
1,User:1,2009.10.22.10.36.30 -0700,2012.10.01.14.18.09 -0700,contact,"<ROOT><P><B>LOCATION</B></P><P>HACKETT | MILL is located at</P><P>201 Post Street, Suite 1000, San Francisco, CA 94108. </P><P> </P><P>For inquiries please call</P><P>415 362 3377</P><P>or email <A HREF=""mailto:art@hackettmill.com"" TARGET=""postera_link"">art@hackettmill.com</A></P><P> </P><P> </P><P><B>HOURS of OPERATION</B></P><P>Tuesday - Friday,  10:30 am - 5:30 pm</P><P>and by appointment</P><P> </P><P> </P><P><B>STAFF CONTACT</B></P><P><A HREF=""mailto:mh@hackettmill.com"" TARGET=""postera_link"">Michael Hackett</A></P><P><A HREF=""mailto:fm@hackettmill.com"" TARGET=""postera_link"">Francis Mill</A></P><P><A HREF=""mailto:jo@hackettmill.com"" TARGET=""postera_link"">John Obrecht</A></P><P><A HREF=""mailto:jp@hackettmill.com"" TARGET=""postera_link"">Jessica Phillips</A></P><P><A HREF=""mailto:art@hackettmill.com"" TARGET=""postera_link"">Sheetal Varma</A></P><P> </P></ROOT>"
2,User:1,2009.10.22.11.13.32 -0700,2014.01.23.13.47.47 -0800,about,"<ROOT><P>HACKETT | MILL, founded by Michael Hackett and Francis Mill, presents rare works from the 1950s and 1960s by important American, European, and Asian artists. </P><P>The gallery focuses on historical movements that took place in the mid-twentieth century including American Modern, Post-War Abstract Expressionism and California/Bay Area Figurative Art.</P><P> </P><P>Hackett | Mill represents the estates of David Park, Frank Lobdell, Robert Schwartz and the artists Brian Wall, Manuel Neri and Raimonds Staprans.</P><P> </P><P>Michael Hackett and Francis Mill each bring over twenty years of expertise and education in the fine arts. Through their shared passion, Hackett | Mill presents a unique experience with art that is both scholarly and inspirational. </P></ROOT>"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
